DATA,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Vento classe
1992-04-26,2.1,10.2,E,280,0,M00000
1992-04-27,3.3,11.9,W,300,0,M00000
1992-04-28,2.7,17.7,S,280,10,M00000
1992-04-29,4.6,11.3,WSW,480,0,M00000
1992-04-30,2.4,11.1,S,210,10,M00000
1992-05-01,1.3,7.0,WSW,310,110,M00000
1992-05-02,1.2,7.2,ENE,260,210,M00000
1992-05-03,1.4,5.7,ENE,250,90,M00000
1992-05-04,1.5,8.9,E,440,90,M00000
1992-05-05,1.4,9.2,E,280,50,M00000
1992-05-06,1.9,9.3,E,400,10,M00000
1992-05-07,2.1,6.1,ENE,240,10,M00000
1992-05-08,2.2,9.5,ENE,260,0,M00000
1992-05-09,2.6,9.3,W,270,20,M00000
1992-05-10,3.6,10.7,SW,430,0,M00000
1992-05-11,3.9,11.9,SW,320,0,M00000
1992-05-12,1.8,7.3,WSW,420,30,M00000
1992-05-13,1.7,5.5,E,480,20,M*****
1992-05-14,1.9,7.9,E,380,30,M00000
1992-05-15,2.1,7.7,E,390,10,M00000
1992-05-16,2.2,7.3,ENE,500,0,M00000
1992-05-17,2.1,7.3,E,320,0,M00000
1992-05-18,2.3,7.7,E,440,40,M00000
1992-05-19,1.2,8.8,WSW,180,110,M00000
1992-05-20,,,,,,M00000
1992-05-21,,,,,,M00000
1992-05-22,1.2,6.1,WSW,210,280,M00000
1992-05-23,1.8,6.3,E,410,10,M00000
1992-05-24,1.7,7.8,E,410,50,M00000
1992-05-25,2.0,7.0,E,500,0,M00000
1992-05-26,2.4,8.8,ENE,360,0,M00000
1992-05-27,1.3,4.3,WSW,340,80,M00000
1992-05-28,1.5,6.0,W,200,60,M00000
1992-05-29,1.0,4.6,W,270,90,M00000
1992-05-30,1.5,7.1,E,300,10,M00000
1992-05-31,1.3,10.0,WSW,240,40,M00000
1992-06-01,1.8,8.3,E,360,30,M00000
1992-06-02,1.5,11.2,E,240,20,M*****
1992-06-03,2.1,7.8,SW,260,0,M00000
1992-06-04,1.6,8.4,ENE,300,60,M00000
1992-06-05,1.6,8.0,W,320,50,M00000
1992-06-06,1.5,6.5,W,330,40,M00000
1992-06-07,1.1,7.2,E,240,80,M00000
1992-06-08,1.9,7.9,W,290,10,M00000
1992-06-09,1.6,8.4,E,230,30,M00000
1992-06-10,1.4,6.9,E,250,20,M00000
1992-06-11,1.3,8.0,E,330,60,M00000
1992-06-12,1.4,7.4,E,250,60,M00000
1992-06-13,1.9,5.8,ENE,390,10,M00000
1992-06-14,2.0,5.8,ENE,450,30,M00000
1992-06-15,1.5,6.4,ENE,380,50,M00000
1992-06-16,1.9,10.4,E,280,30,M00000
1992-06-17,2.0,8.1,E,400,20,M00000
1992-06-18,1.9,5.6,E,420,10,M*****
1992-06-19,1.3,7.8,W,300,90,M00000
1992-06-20,2.3,9.5,E,440,10,M00000
1992-06-21,1.7,6.8,ENE,450,10,M00000
1992-06-22,2.0,10.4,ENE,250,50,M00000
1992-06-23,1.3,8.2,W,260,50,M00000
1992-06-24,1.4,7.9,E,280,50,M00000
1992-06-25,1.9,7.8,E,260,10,M00000
1992-06-26,1.5,4.8,E,360,30,M00000
1992-06-27,2.1,9.6,E,410,0,M00000
1992-06-28,1.6,5.5,E,350,20,M00000
1992-06-29,1.3,6.4,WSW,290,90,M00000
1992-06-30,1.9,8.7,E,480,20,M00000
1992-07-01,1.3,6.8,ENE,240,50,M00000
1992-07-02,1.7,4.8,E,370,20,M00000
1992-07-03,2.1,6.4,E,360,0,M00000
1992-07-04,2.4,10.9,SW,310,30,M00000
1992-07-05,2.3,8.9,E,300,30,M00000
1992-07-06,1.4,7.0,ENE,210,50,M00000
1992-07-07,1.4,5.2,W,280,30,M00000
1992-07-08,1.7,7.4,E,400,40,M00000
1992-07-09,1.4,6.7,WSW,250,50,M00000
1992-07-10,1.7,6.2,WSW,230,0,M00000
1992-07-11,4.4,12.6,SW,580,0,M00000
1992-07-12,4.1,13.5,SW,320,0,M00000
1992-07-13,2.0,6.8,W,400,10,M00000
1992-07-14,2.2,5.6,E,380,10,M00000
1992-07-15,1.9,5.9,E,370,20,M00000
1992-07-16,2.4,8.6,E,470,20,M00000
1992-07-17,1.9,5.1,W,350,10,M00000
1992-07-18,1.9,5.2,W,310,0,M00000
1992-07-19,1.7,4.6,WSW,490,80,M00000
1992-07-20,1.1,5.6,WSW,290,60,M00000
1992-07-21,1.9,9.5,E,470,20,M00000
1992-07-22,2.0,6.1,E,310,10,M00000
1992-07-23,2.0,8.0,E,480,10,M00000
1992-07-24,1.9,4.8,E,490,30,M00000
1992-07-25,2.0,5.7,WSW,410,20,M*****
1992-07-26,2.0,4.5,E,360,10,M00000
1992-07-27,2.3,7.1,E,390,0,M00000
1992-07-28,1.9,7.1,ENE,390,30,M00000
1992-07-29,1.5,6.2,WSW,320,40,M*****
1992-07-30,2.0,7.6,E,540,20,M00000
1992-07-31,2.1,5.3,E,410,20,M00000
1992-08-01,2.2,11.4,ENE,270,0,M00000
1992-08-02,2.1,6.5,W,270,0,M*****
1992-08-03,2.6,10.4,E,290,0,M00000
1992-08-04,2.2,6.1,WSW,290,10,M*****
1992-08-05,2.1,7.8,E,550,30,M00000
1992-08-06,1.7,5.2,E,490,30,M00000
1992-08-07,1.9,7.4,E,570,30,M00000
1992-08-08,1.8,8.1,E,410,20,M00000
1992-08-09,2.7,11.5,ENE,430,20,M00000
1992-08-10,2.0,7.8,E,360,10,M00000
1992-08-11,1.9,9.5,WSW,400,0,M00000
1992-08-12,2.2,9.7,WSW,310,20,M00000
1992-08-13,2.4,8.5,WSW,250,0,M00000
1992-08-14,2.3,11.0,WSW,320,0,M00000
1992-08-15,2.3,9.5,E,420,10,M00000
1992-08-16,1.7,4.9,E,450,30,M00000
1992-08-17,1.7,6.6,ENE,320,50,M00000
1992-08-18,2.0,6.6,E,360,30,M00000
1992-08-19,1.9,6.3,E,440,10,M00000
1992-08-20,2.1,8.3,E,320,30,M00000
1992-08-21,2.1,8.9,E,330,0,M00000
1992-08-22,2.4,13.2,W,240,10,M00000
1992-08-23,3.4,11.3,W,340,0,M00000
1992-08-24,2.8,8.8,WSW,310,0,M00000
1992-08-25,2.0,4.9,E,350,30,M00000
1992-08-26,1.8,4.5,ENE,290,20,M00000
1992-08-27,1.8,4.6,E,400,20,M00000
1992-08-28,1.9,6.5,WSW,310,10,M00000
1992-08-29,1.7,10.3,E,290,20,M00000
1992-08-30,1.7,5.1,W,280,10,M00000
1992-08-31,2.4,17.8,SW,210,60,M*****
1992-09-01,5.4,16.3,WSW,620,0,M*****
1992-09-02,1.6,6.2,W,380,10,M00000
1992-09-03,3.7,13.6,W,460,0,M00000
1992-09-04,4.4,16.5,W,720,0,M*****
1992-09-05,3.5,11.4,WSW,450,0,M00000
1992-09-06,1.8,5.7,E,360,0,M00000
1992-09-07,2.7,9.5,W,350,10,M00000
1992-09-08,1.4,5.4,E,210,50,M00000
1992-09-09,0.8,5.6,WSW,250,200,M00000
1992-09-10,1.6,13.8,E,370,50,M00000
1992-09-11,2.0,7.2,ESE,270,10,M00000
1992-09-12,2.1,5.9,E,320,50,M00000
1992-09-13,1.7,6.2,E,450,40,M00000
1992-09-14,2.9,10.9,WSW,300,10,M00000
1992-09-15,1.9,5.1,WSW,330,10,M00000
1992-09-16,2.0,4.6,E,670,0,M00000
1992-09-17,2.4,4.6,ENE,580,0,M00000
1992-09-18,2.2,5.0,E,390,20,M00000
1992-09-19,1.7,4.1,E,530,40,M00000
